method,seed,K,num_mashups,catalog_size,total_recommendation_slots,unique_recommended_apis,catalog_coverage,seen_catalog_coverage,long_tail_catalog_coverage,unique_lists,unique_list_ratio,avg_pairwise_jaccard,personalization,gini,normalized_entropy,effective_catalog_size,avg_train_frequency,avg_log1p_train_frequency,novelty
Popularity,0,5,1645,1647,8225,5,0.0030358227079538553,0.0035790980672870437,0.0,1,0.0006079027355623101,1.0,0.0,0.9969641772920461,0.21729455504137127,5.000000000000001,770.4,6.447638759037797,4.431144810551747
Popularity,0,10,1645,1647,16450,10,0.006071645415907711,0.0071581961345740875,0.0,1,0.0006079027355623101,1.0,0.0,0.9939283545840923,0.31087822609467847,9.999999999999998,492.7,5.8867123276633935,5.240390591399142
Popularity,1,5,1645,1647,8225,5,0.0030358227079538553,0.0035790980672870437,0.0,1,0.0006079027355623101,1.0,0.0,0.9969641772920461,0.21729455504137127,5.000000000000001,770.4,6.447638759037797,4.431144810551747
Popularity,1,10,1645,1647,16450,10,0.006071645415907711,0.0071581961345740875,0.0,1,0.0006079027355623101,1.0,0.0,0.9939283545840923,0.31087822609467847,9.999999999999998,492.7,5.8867123276633935,5.240390591399142
Popularity,2,5,1645,1647,8225,5,0.0030358227079538553,0.0035790980672870437,0.0,1,0.0006079027355623101,1.0,0.0,0.9969641772920461,0.21729455504137127,5.000000000000001,770.4,6.447638759037797,4.431144810551747
Popularity,2,10,1645,1647,16450,10,0.006071645415907711,0.0071581961345740875,0.0,1,0.0006079027355623101,1.0,0.0,0.9939283545840923,0.31087822609467847,9.999999999999998,492.7,5.8867123276633935,5.240390591399142
Graph-only,0,5,1645,1647,8225,5,0.0030358227079538553,0.0035790980672870437,0.0,1,0.0006079027355623101,1.0,0.0,0.9969641772920461,0.21729455504137127,5.000000000000001,770.4,6.447638759037797,4.431144810551747
Graph-only,0,10,1645,1647,16450,10,0.006071645415907711,0.0071581961345740875,0.0,3,0.00182370820668693,1.0,0.0,0.9939283545840923,0.31087822609467847,9.999999999999998,492.4,5.884577015216336,5.243471196077261
Graph-only,1,5,1645,1647,8225,5,0.0030358227079538553,0.0035790980672870437,0.0,1,0.0006079027355623101,1.0,0.0,0.9969641772920461,0.21729455504137127,5.000000000000001,770.4,6.447638759037797,4.431144810551747
Graph-only,1,10,1645,1647,16450,11,0.006678809957498482,0.007874015748031496,0.0,3,0.00182370820668693,0.909144828355886,0.09085517164411405,0.9938697419827521,0.32022848639985946,10.717091101269434,490.8376291793313,5.87158636067681,5.262212748959339
Graph-only,2,5,1645,1647,8225,5,0.0030358227079538553,0.0035790980672870437,0.0,2,0.0012158054711246201,1.0,0.0,0.9969641772920461,0.21729455504137127,5.000000000000001,770.4,6.447638759037797,4.431144810551747
Graph-only,2,10,1645,1647,16450,10,0.006071645415907711,0.0071581961345740875,0.0,5,0.00303951367781155,1.0,0.0,0.9939283545840923,0.31087822609467847,9.999999999999998,486.3,5.826800504572227,5.326825081463387
BGE-only,0,5,1645,1647,8225,1259,0.7644201578627808,0.7659269863994274,0.7421665174574754,1642,0.998176291793313,0.006572926318117447,0.9934270736818825,0.6712749163533956,0.8823199465855729,688.8948286027844,12.063465045592705,1.3256438213588448,11.820621506599547
BGE-only,0,10,1645,1647,16450,1464,0.8888888888888888,0.8833214030064424,0.8666069829901522,1645,1.0,0.011380895277608343,0.9886191047223917,0.632851846315397,0.8982709425098931,775.286802389679,11.224498480243161,1.2882270253473749,11.874602532651249
BGE-only,1,5,1645,1647,8225,1259,0.7644201578627808,0.7659269863994274,0.7421665174574754,1642,0.998176291793313,0.006572926318117447,0.9934270736818825,0.6712749163533956,0.8823199465855729,688.8948286027844,12.063465045592705,1.3256438213588448,11.820621506599547
BGE-only,1,10,1645,1647,16450,1464,0.8888888888888888,0.8833214030064424,0.8666069829901522,1645,1.0,0.011380895277608343,0.9886191047223917,0.632851846315397,0.8982709425098931,775.286802389679,11.224498480243161,1.2882270253473749,11.874602532651249
BGE-only,2,5,1645,1647,8225,1259,0.7644201578627808,0.7659269863994274,0.7421665174574754,1642,0.998176291793313,0.006572926318117447,0.9934270736818825,0.6712749163533956,0.8823199465855729,688.8948286027844,12.063465045592705,1.3256438213588448,11.820621506599547
BGE-only,2,10,1645,1647,16450,1464,0.8888888888888888,0.8833214030064424,0.8666069829901522,1645,1.0,0.011380895277608343,0.9886191047223917,0.632851846315397,0.8982709425098931,775.286802389679,11.224498480243161,1.2882270253473749,11.874602532651249
Graph+BGE,0,5,1645,1647,8225,153,0.09289617486338798,0.10952040085898354,0.019695613249776187,1555,0.9452887537993921,0.2354787330887213,0.7645212669112786,0.9863251781354327,0.4429732438786206,26.601688164837906,527.1928267477203,5.527178804543161,5.759087822238041
Graph+BGE,0,10,1645,1647,16450,206,0.12507589556769885,0.1474588403722262,0.03581020590868397,1645,1.0,0.2745897085132253,0.7254102914867747,0.9799065815529018,0.5034205828584721,41.62457062158838,382.96285714285716,5.101848471069822,6.3727097850796754
Graph+BGE,1,5,1645,1647,8225,132,0.08014571948998178,0.09448818897637795,0.008952551477170993,1454,0.8838905775075988,0.3213783295927817,0.6786216704072183,0.9898268750588248,0.4001899652107213,19.37708746249598,589.1732522796352,5.756608967509966,5.4280900638954845
Graph+BGE,1,10,1645,1647,16450,184,0.11171827565270188,0.1317108088761632,0.02954341987466428,1645,1.0,0.3370258892157491,0.6629741107842508,0.9826793119293992,0.4812362239972563,35.31746158259678,407.6607294832827,5.212647144002102,6.212861089103199
Graph+BGE,2,5,1645,1647,8225,218,0.1323618700667881,0.15604867573371511,0.03581020590868397,1627,0.9890577507598785,0.09260918237633788,0.9073908176236621,0.9701396847542645,0.5566454259230886,61.73874236992461,300.7462613981763,4.621149388384665,7.066211967829426
Graph+BGE,2,10,1645,1647,16450,255,0.15482695810564662,0.18253400143163923,0.049239033124440466,1645,1.0,0.12806977085345012,0.8719302291465498,0.9634951269970454,0.5888495002375262,78.3697422261533,237.03677811550153,4.376702688601016,7.418874009368971
