case_type,case_label,mashup_id,mashup_name,api_id,api_name,api_group,direct_api_name_mention,direct_api_name_match,selection_level,selection_rule,strict_clean,scf_seed_appearances,lightgcn_seed_appearances,graph_bge_seed_appearances,bge_seed_appearances,scf_consensus_rank,lightgcn_consensus_rank,graph_bge_consensus_rank,bge_consensus_rank,scf_best_seed_rank,num_positives,head_positives,middle_positives,tail_positives,unseen_positives,scf_total_hits_over_3_seeds,all_methods_total_hits_over_3_seeds
middle_rescue,Middle API 语义协同补救案例,6,Betterhome,1130,Walk Score,Middle,0.0,,0,严格清洗子集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,1,3.0,0.0,0.0,0.0,6.0,,,,5.0,8,,,,,,
middle_rescue,Middle API 语义协同补救案例,93,Kiva Loan Map,1003,Kiva,Middle,1.0,kiva,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,1.0,3.0,1.0,2.0,,1.0,1.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,248,Distances Calculator,1383,Google Directions,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,1.0,0.0,0.0,0.0,,,,,9.0,6,,,,,,
middle_rescue,Middle API 语义协同补救案例,248,Distances Calculator,212,Google Distance Matrix,Middle,0.0,,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,5.0,,,3.0,4.0,6,,,,,,
middle_rescue,Middle API 语义协同补救案例,299,Real Estate Mashup,1130,Walk Score,Middle,1.0,walk score,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,1.0,0.0,3.0,3.0,9.0,,2.0,2.0,5,,,,,,
middle_rescue,Middle API 语义协同补救案例,770,Hotel Comparison Widget,940,Sletoh.com,Middle,1.0,sletohcom,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,1208,Our Places,765,Bigtribe,Middle,1.0,bigtribe,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,0.0,3.0,2.0,4.0,,1.0,2.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,1399,Nestoria Uk,985,Nestoria,Middle,1.0,nestoria,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,3.0,,,1.0,2.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,2168,Teamleaks,1166,Espn,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,1,3.0,3.0,0.0,3.0,3.0,4.0,,8.0,2.0,5,,,,,,
middle_rescue,Middle API 语义协同补救案例,2240,Lookzi,407,Simplegeo,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,1,1.0,0.0,0.0,3.0,,,,3.0,9.0,10,,,,,,
middle_rescue,Middle API 语义协同补救案例,2276,Instalyrics,1214,Musixmatch,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,1,3.0,3.0,0.0,3.0,3.0,9.0,,2.0,2.0,5,,,,,,
middle_rescue,Middle API 语义协同补救案例,2310,Tweetbrite,297,Eventbrite,Middle,0.0,,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,2.0,0.0,0.0,3.0,,,,4.0,9.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,2439,Beer Signal,27,Shizzow,Middle,1.0,shizzow,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,5.0,,,4.0,4.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,2490,Twt.fm,805,Ilike,Middle,1.0,ilike,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,8.0,,,2.0,7.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,2559,Mybloglog First Steps,589,Mybloglog,Middle,1.0,mybloglog,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,0.0,3.0,2.0,10.0,,1.0,2.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,2608,Showhear,702,Songkick,Middle,0.0,,1,严格清洗子集；SCF 至少 2/3 seed 命中；LightGCN 未命中,1,3.0,0.0,1.0,0.0,7.0,,,,6.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,2730,Glastonbury 2009 Lineup Mashup,1260,Bbc Music,Middle,1.0,bbc music,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,2.0,0.0,0.0,0.0,9.0,,,,9.0,9,,,,,,
middle_rescue,Middle API 语义协同补救案例,3106,Wap Based Image Search,171,Riya,Middle,1.0,riya,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,2.0,0.0,0.0,3.0,9.0,,,2.0,8.0,5,,,,,,
middle_rescue,Middle API 语义协同补救案例,3157,Etrigg.com,104,Bandsintown,Middle,0.0,,0,严格清洗子集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,1,2.0,0.0,0.0,3.0,9.0,,,4.0,6.0,17,,,,,,
middle_rescue,Middle API 语义协同补救案例,3157,Etrigg.com,297,Eventbrite,Middle,0.0,,0,严格清洗子集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,1,3.0,0.0,0.0,0.0,6.0,,,,5.0,17,,,,,,
middle_rescue,Middle API 语义协同补救案例,3249,Click2message,561,Myvox,Middle,1.0,myvox,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,0.0,6.0,,,,7.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,3282,Librables,555,Bookmooch,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,1,3.0,3.0,0.0,3.0,2.0,4.0,,1.0,1.0,4,,,,,,
middle_rescue,Middle API 语义协同补救案例,3350,Moomazon,375,Moo,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,1,3.0,1.0,0.0,3.0,2.0,,,1.0,2.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,3467,"Giphy And Twilio ""text A Gif""",224,Giphy,Middle,1.0,giphy,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,0.0,3.0,3.0,4.0,,1.0,3.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,3739,Last.fm Ultimate Playlist,19,Tinysong,Middle,0.0,,3,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 未命中,0,3.0,0.0,1.0,0.0,7.0,,,,7.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,3893,Popuri.us,1520,Alexa Top Sites,Middle,0.0,,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,3.0,,,3.0,3.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,3932,Infinilla,268,Dribbble,Middle,1.0,dribbble,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,2.0,3.0,1.0,2.0,7.0,1.0,1.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,3937,Instascriber,587,Instapaper,Middle,1.0,instapaper,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,9.0,,,5.0,7.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,3942,Google Buzz Via Sms,847,Google Buzz,Middle,1.0,google buzz,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,7.0,,,1.0,5.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,3947,Down Or Not,1611,Watchmouse,Middle,1.0,watchmouse,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,3949,Echosign Esignature For Google Apps,1531,Echosign,Middle,1.0,echosign,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,4190,Precisenews,728,Moreover,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,1,3.0,3.0,0.0,0.0,2.0,8.0,,,2.0,15,,,,,,
middle_rescue,Middle API 语义协同补救案例,4211,Twikipedia,746,Twick.it,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,1.0,0.0,3.0,4.0,,,2.0,3.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,4253,Picnik And Box.net,308,Picnik,Middle,1.0,picnik,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,4.0,,,1.0,2.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,4415,Walk Score Facebook Application,1130,Walk Score,Middle,1.0,walk score,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,0.0,3.0,3.0,4.0,,1.0,3.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,4457,Fast & Quick Online Translator,487,Microsoft Translator,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,1,3.0,3.0,0.0,3.0,4.0,5.0,,1.0,3.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,4475,Formstack Calendar,1644,Formstack,Middle,1.0,formstack,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,0.0,3.0,1.0,2.0,,2.0,1.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,4514,Bbcify,1260,Bbc Music,Middle,0.0,,1,严格清洗子集；SCF 至少 2/3 seed 命中；LightGCN 未命中,1,3.0,0.0,2.0,3.0,3.0,,9.0,3.0,3.0,4,,,,,,
middle_rescue,Middle API 语义协同补救案例,4517,Shorten Me!,1089,Google Url Shortener,Middle,1.0,google url shortener,3,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 未命中,0,3.0,0.0,3.0,3.0,3.0,,3.0,1.0,2.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,4521,Shorten Url,1089,Google Url Shortener,Middle,0.0,,1,严格清洗子集；SCF 至少 2/3 seed 命中；LightGCN 未命中,1,3.0,0.0,3.0,3.0,4.0,,4.0,1.0,3.0,13,,,,,,
middle_rescue,Middle API 语义协同补救案例,4537,Weather Odds,858,Forecast,Middle,1.0,forecast,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,8.0,,,3.0,7.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,4623,Shimmer,527,Runkeeper Health Graph,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,2.0,1.0,0.0,0.0,9.0,10.0,,,8.0,7,,,,,,
middle_rescue,Middle API 语义协同补救案例,4629,Trendweight,1410,Withings,Middle,1.0,withings,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,2.0,0.0,0.0,5.0,9.0,,,6.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,4691,Compare Prices Discount Malin.com,388,Kelkoo,Middle,0.0,,0,严格清洗子集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,1,2.0,0.0,0.0,0.0,10.0,,,,9.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,4822,Seattrip,311,Seatwave,Middle,1.0,seatwave,3,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 未命中,0,3.0,0.0,3.0,3.0,2.0,,2.0,1.0,2.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,4910,Runkeeper,527,Runkeeper Health Graph,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,1.0,3.0,3.0,2.0,,2.0,1.0,2.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,4921,Learn Words,844,Forvo,Middle,1.0,forvo,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,2.0,3.0,1.0,4.0,8.0,1.0,1.0,1,,,,,,
middle_rescue,Middle API 语义协同补救案例,4922,German Korean Dictionary,844,Forvo,Middle,1.0,forvo,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,2.0,0.0,3.0,1.0,5.0,,1.0,1.0,1,,,,,,
middle_rescue,Middle API 语义协同补救案例,4924,How To Say,844,Forvo,Middle,1.0,forvo,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,2.0,0.0,3.0,2.0,7.0,,1.0,2.0,1,,,,,,
middle_rescue,Middle API 语义协同补救案例,4992,Storeslider,1145,Ebay Shopping,Middle,0.0,,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,2.0,,,2.0,2.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,5010,Get Control,1150,Stripe,Middle,1.0,stripe,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,1.0,,,1.0,1.0,1,,,,,,
middle_rescue,Middle API 语义协同补救案例,5054,Coinstackr,986,Bitstamp Http,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,1,3.0,3.0,1.0,3.0,2.0,4.0,,6.0,2.0,4,,,,,,
middle_rescue,Middle API 语义协同补救案例,5095,Mobile Emulator,646,Page2images,Middle,1.0,page2images,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,2.0,,,1.0,1.0,1,,,,,,
middle_rescue,Middle API 语义协同补救案例,5130,Spotkick,702,Songkick,Middle,1.0,songkick,3,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 未命中,0,3.0,0.0,3.0,3.0,3.0,,2.0,1.0,2.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,5136,Ten Word Moo Card,375,Moo,Middle,1.0,moo,0,严格清洗子集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,1,3.0,0.0,0.0,3.0,1.0,,,1.0,1.0,1,,,,,,
middle_rescue,Middle API 语义协同补救案例,5152,Alexa Graphs On Cell Phone,1520,Alexa Top Sites,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,1.0,0.0,3.0,2.0,,,1.0,2.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,5153,Propertywizza,985,Nestoria,Middle,1.0,nestoria,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,2.0,0.0,0.0,3.0,9.0,,,6.0,9.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,5155,Nestoria Espana,985,Nestoria,Middle,1.0,nestoria,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,2.0,,,1.0,2.0,1,,,,,,
middle_rescue,Middle API 语义协同补救案例,5162,Lucille Hipchat Bot,224,Giphy,Middle,1.0,giphy,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,1.0,0.0,0.0,3.0,,,,1.0,10.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,5165,Coindesk Bitcoin Price Index (bpi),986,Bitstamp Http,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,1.0,3.0,4.0,6.0,,5.0,4.0,4,,,,,,
middle_rescue,Middle API 语义协同补救案例,5167,Uship On Ritchie Bros. Auctioneers,70,Uship,Middle,1.0,uship,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,0.0,3.0,1.0,2.0,,1.0,1.0,1,,,,,,
middle_rescue,Middle API 语义协同补救案例,5186,Barcelona City Tours,922,Rezgo,Middle,1.0,rezgo,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,0.0,3.0,3.0,5.0,,2.0,3.0,1,,,,,,
middle_rescue,Middle API 语义协同补救案例,5187,Viamigo,922,Rezgo,Middle,1.0,rezgo,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,2.0,0.0,0.0,3.0,6.0,,,4.0,5.0,1,,,,,,
middle_rescue,Middle API 语义协同补救案例,5199,Socialconnect,953,Social Actions,Middle,0.0,,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,4.0,,,1.0,4.0,5,,,,,,
middle_rescue,Middle API 语义协同补救案例,5201,Blip.fm,528,Livekick,Middle,1.0,livekick,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,0.0,3.0,1.0,4.0,,1.0,1.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,5201,Blip.fm,1258,Blip.fm,Middle,1.0,blip.fm,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,4.0,,,3.0,4.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,5220,Netto Mobile App,713,Dansk Supermarked,Middle,1.0,dansk supermarked,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,0.0,3.0,1.0,2.0,,1.0,1.0,1,,,,,,
middle_rescue,Middle API 语义协同补救案例,5224,Strava Segment,360,Strava,Middle,1.0,strava,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,0.0,3.0,2.0,8.0,,1.0,2.0,1,,,,,,
middle_rescue,Middle API 语义协同补救案例,5226,Snapsboard,1240,Walgreens Quickprints,Middle,0.0,,0,严格清洗子集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,1,3.0,0.0,0.0,3.0,6.0,,,1.0,5.0,1,,,,,,
middle_rescue,Middle API 语义协同补救案例,5259,Iradioapp: Iphone Radio,580,Yes Broadcast Db,Middle,0.0,,3,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 未命中,0,3.0,0.0,2.0,3.0,2.0,,4.0,1.0,2.0,3,,,,,,
middle_rescue,Middle API 语义协同补救案例,5265,Postrank Google Reader Extension,263,Aiderss,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,1,3.0,1.0,0.0,3.0,4.0,,,2.0,3.0,1,,,,,,
middle_rescue,Middle API 语义协同补救案例,5269,Uk Carbon Footprint Project,778,Amee,Middle,1.0,amee,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,0,3.0,3.0,0.0,3.0,1.0,3.0,,1.0,1.0,1,,,,,,
middle_rescue,Middle API 语义协同补救案例,5304,Restaurant Finder,762,Zomato Foodie Index,Middle,0.0,,4,SCF 共识排名优于 LightGCN，但稳定性或清洗条件已放宽,1,3.0,1.0,0.0,3.0,2.0,,,1.0,2.0,1,,,,,,
middle_rescue,Middle API 语义协同补救案例,5314,Trakter,108,Trakt.tv,Middle,1.0,trakttv,3,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 未命中,0,3.0,0.0,3.0,3.0,1.0,,5.0,1.0,1.0,1,,,,,,
middle_rescue,Middle API 语义协同补救案例,5323,Yolink Outside.in Mashup,896,Outside.in,Middle,1.0,outside.in,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,2.0,0.0,0.0,3.0,10.0,,,3.0,10.0,2,,,,,,
middle_rescue,Middle API 语义协同补救案例,5323,Yolink Outside.in Mashup,473,Yolink,Middle,1.0,yolink,2,完整测试集；SCF 至少 2/3 seed 命中；LightGCN 与 Graph+BGE 均未命中,0,3.0,0.0,0.0,3.0,5.0,,,1.0,5.0,2,,,,,,
