subset,method,K,group,seeds,eligible_mashups,positive_api_count,macro_recall_mean,macro_recall_std,micro_recall_mean,micro_recall_std,hit_rate_mean,hit_rate_std,ndcg_mean,ndcg_std,map_mean,map_std
full,Graph+BGE,5,Head,3,1487,2919,0.6612320144768026,0.010122734481549144,0.5351147653305927,0.014325817714487049,0.8137188971082717,0.010475966326427194,0.609020335619121,0.03456607526484173,0.5477773419014172,0.040792937330268994
full,Graph+BGE,5,Middle,3,237,300,0.06118143459915612,0.014717615707775213,0.04888888888888889,0.012272623352430293,0.06188466947960619,0.015534966268899103,0.04029479952191635,0.01601989329815413,0.03333333333333333,0.016480721151448958
full,Graph+BGE,5,Tail,3,110,127,0.012121212121212121,0.008570991287109666,0.010498687664041995,0.007423693240803648,0.012121212121212121,0.008570991287109666,0.005297593707216146,0.0037471597160963314,0.003131313131313131,0.0022176261010202173
full,Graph+BGE,5,Unseen,3,144,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,Graph+BGE,10,Head,3,1487,2919,0.7402846844255722,0.0033065677024321787,0.6297818887746945,0.007996867146288266,0.8717776283344542,0.0006340343252064672,0.6375070554576817,0.031139824178244194,0.5617824519904852,0.039152434026079284
full,Graph+BGE,10,Middle,3,237,300,0.09563994374120956,0.011469413804711736,0.07777777777777778,0.010999438818457403,0.09845288326300984,0.013923340276528359,0.051503117578202216,0.015017568208509937,0.03785608242359297,0.016037255200929638
full,Graph+BGE,10,Tail,3,110,127,0.012121212121212121,0.008570991287109666,0.010498687664041995,0.007423693240803648,0.012121212121212121,0.008570991287109666,0.005297593707216146,0.0037471597160963314,0.003131313131313131,0.0022176261010202173
full,Graph+BGE,10,Unseen,3,144,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_clean,Graph+BGE,5,Head,3,808,1544,0.6342233879981406,0.023082013313162106,0.48164939550949915,0.025604526907155496,0.7739273927392739,0.027717123815578944,0.5626599730919194,0.05825277287047041,0.5030795058672534,0.0667886309848381
strict_clean,Graph+BGE,5,Middle,3,107,140,0.006230529595015576,0.004405649727018987,0.0047619047619047615,0.003367175148507369,0.006230529595015576,0.004405649727018987,0.002899303919231754,0.00206710915518628,0.0018172377985462096,0.0013237329993750738
strict_clean,Graph+BGE,5,Tail,3,53,59,0.012578616352201257,0.008894424920585503,0.011299435028248588,0.007989907132051385,0.012578616352201257,0.008894424920585503,0.005853311685996183,0.004173220369904378,0.0036687631027253666,0.0026724420930779795
strict_clean,Graph+BGE,5,Unseen,3,73,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_clean,Graph+BGE,10,Head,3,808,1544,0.7194578392134084,0.005228011001693977,0.5854922279792746,0.010615967921540787,0.8502475247524752,0.00525079292960308,0.5931839484211153,0.05121073994420814,0.5170348250457132,0.06347520481577128
strict_clean,Graph+BGE,10,Middle,3,107,140,0.02336448598130841,0.006608474590528481,0.019047619047619046,0.006734350297014738,0.024922118380062305,0.008811299454037974,0.008412916985329408,0.0027336679355801584,0.003975671265390891,0.0014360086480624643
strict_clean,Graph+BGE,10,Tail,3,53,59,0.012578616352201257,0.008894424920585503,0.011299435028248588,0.007989907132051385,0.012578616352201257,0.008894424920585503,0.005853311685996183,0.004173220369904378,0.0036687631027253666,0.0026724420930779795
strict_clean,Graph+BGE,10,Unseen,3,73,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,Inductive LightGCN,5,Head,3,1487,2919,0.7511676727043236,0.0013946030800220711,0.6245289482699555,0.002289589774553338,0.8867966823582156,0.0003170171626032598,0.7341327638441228,0.00100326057595008,0.6853595357294079,0.0011479268591789058
full,Inductive LightGCN,5,Middle,3,237,300,0.23956868260665728,0.0035083519800974614,0.2088888888888889,0.00684934889218775,0.25316455696202533,0.005967145832797875,0.15245592365653343,0.0026013174330733555,0.12121034536646348,0.0021848189215975017
full,Inductive LightGCN,5,Tail,3,110,127,0.11666666666666665,0.004285495643554835,0.12860892388451442,0.0037118466204018306,0.1212121212121212,0.004285495643554829,0.08304732961497331,0.0011750168659548736,0.06994949494949494,0.0012876311903012056
full,Inductive LightGCN,5,Unseen,3,144,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,Inductive LightGCN,10,Head,3,1487,2919,0.8048266317012113,0.0033730954754494944,0.7051501655818203,0.004245205046349464,0.9166106254203094,0.0014527551442295105,0.7524832831933388,0.001177638282170799,0.6942492410569382,0.0011982874136773564
full,Inductive LightGCN,10,Middle,3,237,300,0.320323488045007,0.008992061780973584,0.2933333333333333,0.007200822998230959,0.3361462728551336,0.0079561944437305,0.17992424939893562,0.004166808788784588,0.13283920850728162,0.002762223857973248
full,Inductive LightGCN,10,Tail,3,110,127,0.15606060606060604,0.008112312325358082,0.18110236220472442,0.012858213872877574,0.16969696969696968,0.011338355717496796,0.09714525121803556,0.00315713154872516,0.07583193041526375,0.0019796642285087925
full,Inductive LightGCN,10,Unseen,3,144,196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_clean,Inductive LightGCN,5,Head,3,808,1544,0.7192327417265535,0.0017105536286136877,0.5639032815198618,0.0021371966616173794,0.8576732673267325,0.0010105155704551074,0.7004370511707187,0.0014796456281635556,0.6530764118078475,0.0014027430117215405
strict_clean,Inductive LightGCN,5,Middle,3,107,140,0.09553478712357216,0.006401260646904434,0.0880952380952381,0.008908708063747483,0.1059190031152648,0.011656253541351844,0.06294260131214215,0.0026306576635143283,0.05095188646590515,0.0009899861298771255
strict_clean,Inductive LightGCN,5,Tail,3,53,59,0.03773584905660377,0.0,0.03389830508474576,0.0,0.03773584905660377,0.0,0.025306408894879433,0.002118122734268571,0.020964360587002098,0.002964808306861834
strict_clean,Inductive LightGCN,5,Unseen,3,73,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_clean,Inductive LightGCN,10,Head,3,808,1544,0.7747894186167702,0.0009555999625134003,0.6457253886010363,0.0037017332036878383,0.8939768976897691,0.001166842873245129,0.7184001964575369,0.0015256379691334747,0.6605875509544057,0.001606597023474254
strict_clean,Inductive LightGCN,10,Middle,3,107,140,0.1690031152647975,0.0055070621587737355,0.16904761904761903,0.00336717514850737,0.1838006230529595,0.004405649727018988,0.08797914056348022,0.0011326504048261433,0.06110616624635316,0.00012710001911128964
strict_clean,Inductive LightGCN,10,Tail,3,53,59,0.05974842767295597,0.016836874637535644,0.06779661016949153,0.02767785020093987,0.06918238993710692,0.023532436394804665,0.03300561352070388,0.006560874887217404,0.02373797876942531,0.003715802454471313
strict_clean,Inductive LightGCN,10,Unseen,3,73,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,SCF-LightGCN+BGE,5,Head,3,1487,2919,0.7538458287785792,0.0016773695918413328,0.6087701267557383,0.0013985895528053033,0.8977807666442502,0.0010981796650002952,0.7357821714911214,0.000247626115531533,0.685548270193529,0.000231563975091162
full,SCF-LightGCN+BGE,5,Middle,3,237,300,0.4229254571026722,0.0025857631942124244,0.3622222222222222,0.0015713484026367824,0.44725738396624476,0.003445133252859607,0.29496697676044853,0.0014105395539677377,0.2476847944991405,0.0026984544545682583
full,SCF-LightGCN+BGE,5,Tail,3,110,127,0.3181818181818181,0.002142747821777431,0.32545931758530183,0.003711846620401844,0.35454545454545455,0.0,0.22131235753673564,0.0029760229078290915,0.18237373737373738,0.0035360749624675407
full,SCF-LightGCN+BGE,5,Unseen,3,144,196,0.2422453703703704,0.0013094570021973055,0.19217687074829928,0.004810250212153391,0.2523148148148148,0.0032736425054932642,0.15225477317288638,0.0036916339246052376,0.12080632716049383,0.004700426405380095
full,SCF-LightGCN+BGE,10,Head,3,1487,2919,0.802793590024592,0.0023268866100116556,0.6755738266529634,0.0014534568986362504,0.9262497197937684,0.0022860432699362294,0.7524879918388113,0.0007032686415122896,0.6936381181840839,0.0004362130707451921
full,SCF-LightGCN+BGE,10,Middle,3,237,300,0.5260196905766527,0.007903809461731115,0.46222222222222226,0.00874889763779089,0.549929676511955,0.010525055940292391,0.32987929837001445,0.004252564707616009,0.2628217392598546,0.003518703244173893
full,SCF-LightGCN+BGE,10,Tail,3,110,127,0.41060606060606064,0.009340021216619653,0.42782152230971127,0.009820623062398798,0.42727272727272725,0.0074226961902520575,0.25276831609443756,0.005156557617930741,0.19786796536796536,0.004184775712181663
full,SCF-LightGCN+BGE,10,Unseen,3,144,196,0.3462962962962963,0.0032736425054932902,0.2891156462585034,0.0024051251060766953,0.36574074074074076,0.0032736425054932902,0.18808165046500122,0.0035916330226443533,0.13595137051734274,0.004576952447030412
strict_clean,SCF-LightGCN+BGE,5,Head,3,808,1544,0.7124130224377749,0.0039378390017196455,0.5345423143350604,0.002442510470419862,0.8605610561056105,0.0015435880308473369,0.6900976356530689,0.001191700333890397,0.642304959662633,0.0009758318353988607
strict_clean,SCF-LightGCN+BGE,5,Middle,3,107,140,0.20155763239875388,0.011395228135932614,0.17380952380952383,0.00673435029701474,0.22741433021806853,0.008811299454037975,0.12475585311478261,0.0018828872229868661,0.09565074420214607,0.002511879864764654
strict_clean,SCF-LightGCN+BGE,5,Tail,3,53,59,0.1792452830188679,0.016034652558467873,0.2033898305084746,0.01383892510046993,0.20125786163522016,0.017788849841171003,0.12474929425008936,0.004020176771091823,0.10251572327044024,0.0013286620085137366
strict_clean,SCF-LightGCN+BGE,5,Unseen,3,73,105,0.1232876712328767,0.0,0.09523809523809523,0.0,0.1232876712328767,0.0,0.07939134605375221,0.00028299608580074784,0.06461187214611873,0.00032287980876098254
strict_clean,SCF-LightGCN+BGE,10,Head,3,808,1544,0.764180213236525,0.006724675949729584,0.6047063903281521,0.0021371966616173794,0.8972772277227724,0.006310667714842561,0.707341900696326,0.002526495465222668,0.6498017237889228,0.0015093534424903121
strict_clean,SCF-LightGCN+BGE,10,Middle,3,107,140,0.2751817237798546,0.014094254258888134,0.24285714285714285,0.015430334996209187,0.3115264797507788,0.01588479599250089,0.14978260732634996,0.007472002830622737,0.10580007911783612,0.005509327466677989
strict_clean,SCF-LightGCN+BGE,10,Tail,3,53,59,0.29245283018867924,0.007702797933280433,0.3276836158192091,0.007989907132051388,0.29559748427672955,0.008894424920585502,0.16273384598769847,0.001469481577053758,0.1202930018967755,0.0016215240191606568
strict_clean,SCF-LightGCN+BGE,10,Unseen,3,73,105,0.20684931506849313,0.0,0.1619047619047619,0.0,0.2191780821917808,0.0,0.10757432826581548,0.00012792184427161098,0.0763499311444517,0.00013932291647997133
